Loading merged.csv ...
Training years used: [2020, 2021, 2022, 2023]

==================================================
  Experiment: Withholding m=0 stations
==================================================
  Running 1 iterations for m=0...

  --- Iteration 1/1 ---
  Unseen stations (0): []
  [Time Est] ~13.0s/epoch. ETA for m=0: ~4.3 mins.
    Epoch   10/1000 | Loss: 3.5704 | Monitor MAE: 1.7450 | Patience: 0/10
    Epoch   20/1000 | Loss: 3.5363 | Monitor MAE: 1.7070 | Patience: 1/10
    Epoch   30/1000 | Loss: 3.5042 | Monitor MAE: 1.6981 | Patience: 0/10
    Epoch   40/1000 | Loss: 3.4960 | Monitor MAE: 1.6765 | Patience: 3/10
    Epoch   50/1000 | Loss: 3.4638 | Monitor MAE: 1.6651 | Patience: 7/10
    Epoch   60/1000 | Loss: 3.4567 | Monitor MAE: 1.6581 | Patience: 3/10
    Early stopping triggered after 66 epochs.
    Iter 1 Results -> Seen MAE: 1.6528

  ========================================
  AGGREGATED RESULTS (Across all iterations)
  SEEN   mean MAE Tmax: 1.6528
  ========================================

  [AGGREGATED_CURVES_START]
    Epoch 71:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 72:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 73:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 74:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 75:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 76:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 77:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 78:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 79:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 80:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 81:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 82:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 83:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 84:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 85:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 86:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 87:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 88:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 89:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 90:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 91:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 92:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 93:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 94:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 95:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 96:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 97:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 98:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 99:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 100:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 101:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 102:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 103:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 104:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 105:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 106:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 107:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 108:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 109:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 110:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 111:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 112:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 113:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 114:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 115:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 116:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 117:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 118:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 119:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 120:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 121:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 122:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 123:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 124:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 125:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 126:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 127:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 128:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 129:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 130:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 131:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 132:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 133:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 134:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 135:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 136:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 137:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 138:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 139:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 140:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 141:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 142:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 143:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 144:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 145:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 146:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 147:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 148:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 149:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 150:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 151:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 152:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 153:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 154:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 155:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 156:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 157:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 158:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 159:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 160:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
